plot,PD,rate,block,strip,rye_biomass_0.25m,rye_bio,STEME_bio,ERPVE_bio,LAMAM_bio,VERPG_bio,VERAR_bio,CARHI_bio,LAMPU_bio,SETFA_bio,CERVU_bio,VIOAR_bio,TAROF_bio,TRZAX_bio,AMBEL_bio,THLAR_bio,weed_bio_0.25m,weed_bio_KgHA,rye_biomass_0.125m,rye_bio_phen,sp_can_A,sp_can_B_noweeds,sp_can_B_weedy,sp_can_B_weeds,STEME_N,ERPVE_N,CERVU_N,VIOAR_N,CARHI_N,LAMAM_N,VERAR_N,LAMPU_N,THLPE_N,VERSE_N,unknown_rosette_N,tillers_n,soybean_tot,soybean_ac,rye_seedlings_B,fall_can_B,fall_can_A,SETFA,AMBEL,SETVI,SECCE,OXAST,VIOAR,VERAR,SOPT7,LOBIN,SETPU,DIGIS,CHEAL,ERICA,DIGSA,EPHMA,TRFRE,POLPE,CYPES,PRTQU,TAROF,PLAMA,XANST,ANGAR,MEDLU,peak_bio,peak_bio_kg,setfa.n,ambel.n,setvi.n,secce.n,oxast.n,vioar.n,verar.n,spo7.n,lobin.n,setpu.n,digis.n,cheal.n,erica.n,digsa.n,ephma.n,trfre.n,polpe.n,cypes.n,prtqu.n,taror.n,plama.n,xanst.n,angar.n,medlu.n,setfa.indiv,ambel.indiv,setvi.indiv,secce.indiv,ooxast.indiv,vioar.indiv,verar.indiv,spot7.indiv,lobin.indiv,setpu.indiv,digis.indiv,cheal.indiv,erica.indiv,digsa.indiv,ephma.indiv,trfre.indiv,polpe.indiv,cypes.indiv,prtqu.indiv,tarof.indiv,plama.indiv,xanst.indiv,angar.indiv,medlu.indiv,seeds.n,seedhead.n,seedhead.wt,seedhead.avg.wt,seed.per.head
101E,Early,1.5,1,1,171.6,6864,1.468,0,0.036,0,0,0,0,0,0.034,0,0,0,0,0,1.538,61.52,55.8,4464,0.6298,0.5198,0.6045,0.0847,27,11,0,1,0,0,0,0,1,0,0,22,158,158000,186,0.2209,0.2317,26.30,15.79,0.84,2.68,0.10,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.07,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,49.29,985.80,145,15,9,10,6,0,0,0,0,28,0,0,1,3,0,0,0,0,0.00,0,0,0,0,0,0.181,1.053,0.093,0.268,0.017,NA,NA,NA,NA,0.119,NA,NA,0.072,0.059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,99,13,1.303,0.100230769,7.615384615
101L,Late,1.5,1,1,119.7,4788,1.582,0,0,0,0,0,0,0,0.034,0,0,0,0,0,1.616,64.64,47.5,3800,0.4948,0.3915,0.4652,0.0737,24,15,1,0,0,0,4,0,0,0,0,11,143,143000,102,0.1289,0.0878,28.10,17.40,1.07,3.80,0.13,0.00,0.00,0.00,0.00,1.60,0.00,0.00,0.00,0.15,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.00,52.35,1047.08,146,20,7,9,4,0,0,0,0,12,0,0,0,2,0,0,2,0,0.00,0,0,0,0,0,0.192,0.870,0.153,0.422,0.032,NA,NA,NA,NA,0.133,NA,NA,NA,0.076,NA,NA,0.054,NA,NA,NA,NA,NA,NA,NA,142,30,2.569,0.085633333,4.733333333
102E,Early,0,1,2,80.3,3212,0.055,0,0,0,0,0,0,0,0.009,0,0,0,0,0,0.064,2.56,27.7,2216,0.2239,0.2457,0.2591,0.0134,9,9,0,0,2,0,0,0,0,0,0,54,177,177000,135,0.1475,0.1328,25.81,9.51,0.39,4.96,0.06,0.07,0.00,0.00,0.00,0.84,0.04,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,41.71,834.12,134,12,2,28,3,1,0,0,0,5,1,0,0,0,0,0,2,0,0.00,0,0,0,0,0,0.193,0.793,0.194,0.177,0.021,0.066,NA,NA,NA,0.167,0.035,NA,NA,NA,NA,NA,0.019,NA,NA,NA,NA,NA,NA,NA,620,61,9.385,0.153852459,10.16393443
102L,Late,0,1,2,67.3,2692,0.116,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116,4.64,58.7,4696,0.1844,0.1948,0.1944,-0.0004,10,2,0,0,4,0,0,0,0,0,0,45,173,173000,156,0.0603,0.0527,42.70,9.70,0.61,4.90,0.06,0.11,0.00,0.00,0.00,0.02,0.00,0.00,0.09,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.00,0.00,58.26,1165.20,178,8,8,11,4,4,0,0,0,1,0,0,1,0,0,0,0,0,1.00,0,0,0,0,0,0.240,1.213,0.076,0.445,0.016,0.028,NA,NA,NA,0.016,NA,NA,0.094,NA,NA,NA,NA,NA,0.073,NA,NA,NA,NA,NA,581,68,8.527,0.125397059,8.544117647
103E,Early,3,1,3,218.2,8728,1.894,0,0,0.008,0.016,0,0,0,0,0,0,1.288,0,0,3.206,128.24,53.1,4248,0.6046,0.5918,0.66,0.0682,28,7,0,2,2,3,0,0,0,0,0,18,136,136000,104,0.3531,0.2624,9.49,9.67,2.67,0.88,0.21,0.26,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.00,0.00,0.00,23.28,465.52,36,9,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0.00,0,0,0,0,0,0.264,1.074,NA,0.293,0.103,0.263,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.049,NA,NA,NA,NA,NA,NA,191,17,3.159,0.185823529,11.23529412
103L,Late,3,1,3,125.5,5020,0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0.58,23.2,90.3,7224,0.4275,0.4515,0.5004,0.0489,17,3,0,1,1,0,0,0,2,0,0,21,144,144000,147,0.1864,0.1875,15.34,21.85,2.78,0.84,0.52,0.00,0.00,0.00,0.00,0.00,0.52,1.74,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,43.59,871.82,55,12,13,4,5,0,0,0,0,0,5,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0.279,1.821,0.214,0.210,0.103,NA,NA,NA,NA,NA,0.105,0.348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,136,15,2.432,0.162133333,9.066666667
201E,Early,0,2,1,62,2480,0.162,0.017,0,0,0.068,0,0,0,0,0,0,0,0,0,0.247,9.88,18.5,1480,0.2827,0.2246,0.2333,0.0087,17,12,0,0,0,0,0,0,0,0,0,59,197,197000,181,0.0981,0.0896,31.90,11.20,1.71,7.50,0.04,0.00,0.00,0.00,0.00,1.80,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.14,1082.82,365,21,31,35,3,0,0,0,0,23,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.087,0.533,0.055,0.214,0.012,NA,NA,NA,NA,0.078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,453,62,7.407,0.119467742,7.306451613
201L,Late,0,2,1,92,3680,0.764,0,0,0,0.073,0.019,0,0,0,0,0,0,0,0,0.856,34.24,41.1,3288,0.324,0.3324,0.3526,0.0202,12,2,1,0,3,0,0,0,0,0,0,38,192,192000,170,0.1488,0.1224,47.77,3.75,0.00,3.72,0.21,0.00,0.00,0.00,0.00,1.07,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,56.58,1131.52,387,11,0,18,3,0,0,0,0,9,2,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.123,0.341,NA,0.207,0.069,NA,NA,NA,NA,0.119,0.030,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,411,54,5.547,0.102722222,7.611111111
202E,Early,1.5,2,2,89,3560,2.234,0,0,0.045,0.062,0.119,0,0,0,0,0,0,0,0,2.46,98.4,42.2,3376,0.282,0.2397,0.2211,-0.0186,14,3,0,0,3,2,2,0,0,0,0,20,155,155000,174,0.1048,0.072,42.49,15.11,1.30,2.48,0.08,0.09,0.06,0.03,0.04,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,61.68,1233.52,174,14,12,8,3,2,2,1,1,0,0,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0.244,1.079,0.108,0.310,0.025,0.043,0.032,0.034,0.037,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167,23,2.851,0.123956522,7.260869565
202L,Late,1.5,2,2,126.3,5052,2.219,0,0,0,0,0,0,0,0,0,0,0,0,0,2.219,88.76,54.1,4328,0.3343,0.3919,0.4134,0.0215,12,0,0,1,1,0,1,1,0,0,0,10,197,197000,204,0.1532,0.1201,26.10,5.50,2.10,0.36,0.12,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,34.28,685.54,88,4,7,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.00,0,0,0,1,0,0.297,1.375,0.300,0.180,0.041,0.047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109,19,1.904,0.100210526,5.736842105
