plot,plot_main,PD,block,rate_pl,strip,stage,diameter_mm,height_cm
101E,101.00,E,1,1.5,1,57,1.1,31.75
101E,101.00,E,1,1.5,1,49,1.7,40.64
101E,101.00,E,1,1.5,1,47,1.2,45.72
101E,101.00,E,1,1.5,1,57,1,48.26
101E,101.00,E,1,1.5,1,57,1.3,48.26
101E,101.00,E,1,1.5,1,59,1.2,50.80
101E,101.00,E,1,1.5,1,55,1.4,50.80
101E,101.00,E,1,1.5,1,49,2.1,50.80
101E,101.00,E,1,1.5,1,55,1.7,53.34
101E,101.00,E,1,1.5,1,55,2,53.34
101E,101.00,E,1,1.5,1,59,1.4,60.96
101E,101.00,E,1,1.5,1,57,2,60.96
101E,101.00,E,1,1.5,1,59,2.8,60.96
101E,101.00,E,1,1.5,1,57,2.2,63.50
101E,101.00,E,1,1.5,1,57,2.4,63.50
101E,101.00,E,1,1.5,1,57,1.9,66.04
101E,101.00,E,1,1.5,1,59,1.9,66.04
101E,101.00,E,1,1.5,1,59,2,66.04
101E,101.00,E,1,1.5,1,59,2.2,66.04
101E,101.00,E,1,1.5,1,55,2.5,68.58
101E,101.00,E,1,1.5,1,57,2.5,71.12
101E,101.00,E,1,1.5,1,59,2.6,71.12
101E,101.00,E,1,1.5,1,57,3.5,71.12
101E,101.00,E,1,1.5,1,59,2.3,73.66
101E,101.00,E,1,1.5,1,59,2.3,73.66
101E,101.00,E,1,1.5,1,57,2.5,73.66
101E,101.00,E,1,1.5,1,57,2.7,73.66
101E,101.00,E,1,1.5,1,57,3.1,73.66
101E,101.00,E,1,1.5,1,57,3.2,73.66
101E,101.00,E,1,1.5,1,59,2.6,76.20
101E,101.00,E,1,1.5,1,57,2.8,76.20
101E,101.00,E,1,1.5,1,59,2.1,78.74
101E,101.00,E,1,1.5,1,59,2.5,78.74
101E,101.00,E,1,1.5,1,59,2.7,78.74
101E,101.00,E,1,1.5,1,55,3.5,78.74
101E,101.00,E,1,1.5,1,57,3.7,78.74
101E,101.00,E,1,1.5,1,53,2.8,80.01
101E,101.00,E,1,1.5,1,59,3,80.01
101E,101.00,E,1,1.5,1,55,3.1,80.01
101E,101.00,E,1,1.5,1,55,2.2,81.28
101E,101.00,E,1,1.5,1,57,3,81.28
101E,101.00,E,1,1.5,1,59,3.7,81.28
101E,101.00,E,1,1.5,1,59,4.2,81.28
101E,101.00,E,1,1.5,1,57,4.3,81.28
101E,101.00,E,1,1.5,1,57,2.7,83.82
101E,101.00,E,1,1.5,1,59,2.7,83.82
101E,101.00,E,1,1.5,1,59,3,83.82
101E,101.00,E,1,1.5,1,53,3.3,83.82
101E,101.00,E,1,1.5,1,57,3.3,83.82
101E,101.00,E,1,1.5,1,57,3.4,83.82
101E,101.00,E,1,1.5,1,59,2.4,86.36
101E,101.00,E,1,1.5,1,57,3,86.36
101E,101.00,E,1,1.5,1,59,3,86.36
101E,101.00,E,1,1.5,1,59,3,86.36
101E,101.00,E,1,1.5,1,57,3.1,86.36
101E,101.00,E,1,1.5,1,57,3.3,86.36
101E,101.00,E,1,1.5,1,59,4.9,86.36
101E,101.00,E,1,1.5,1,57,2.3,88.90
101E,101.00,E,1,1.5,1,57,3,88.90
101E,101.00,E,1,1.5,1,57,3.1,88.90
101E,101.00,E,1,1.5,1,53,3.2,88.90
101E,101.00,E,1,1.5,1,59,4.4,90.17
101E,101.00,E,1,1.5,1,57,2.5,91.44
101E,101.00,E,1,1.5,1,57,2.8,91.44
101E,101.00,E,1,1.5,1,57,3.1,91.44
101E,101.00,E,1,1.5,1,59,3.5,91.44
101E,101.00,E,1,1.5,1,59,3.6,91.44
101E,101.00,E,1,1.5,1,59,3.8,91.44
101E,101.00,E,1,1.5,1,59,2.8,93.98
101E,101.00,E,1,1.5,1,57,3.6,93.98
101E,101.00,E,1,1.5,1,57,4,93.98
101E,101.00,E,1,1.5,1,59,3.8,96.52
101E,101.00,E,1,1.5,1,59,4.5,96.52
101E,101.00,E,1,1.5,1,59,4,97.79
101E,101.00,E,1,1.5,1,59,3.3,99.06
101E,101.00,E,1,1.5,1,57,3.4,99.06
101E,101.00,E,1,1.5,1,59,3.6,99.06
101E,101.00,E,1,1.5,1,59,2.9,101.60
101E,101.00,E,1,1.5,1,59,4.6,104.14
101E,101.00,E,1,1.5,1,60,4.3,106.68
102E,102.00,E,1,0,2,43,1,20.32
102E,102.00,E,1,0,2,57,1.1,21.59
102E,102.00,E,1,0,2,49,1.2,22.86
102E,102.00,E,1,0,2,41,1.3,22.86
102E,102.00,E,1,0,2,53,0.7,25.40
102E,102.00,E,1,0,2,49,0.9,25.40
102E,102.00,E,1,0,2,55,0.9,25.40
102E,102.00,E,1,0,2,43,1.2,25.40
102E,102.00,E,1,0,2,53,1.2,25.40
102E,102.00,E,1,0,2,49,0.8,30.48
102E,102.00,E,1,0,2,49,1.1,30.48
102E,102.00,E,1,0,2,49,1.1,30.48
102E,102.00,E,1,0,2,49,0.9,33.02
102E,102.00,E,1,0,2,47,1.7,33.02
102E,102.00,E,1,0,2,49,1.7,33.02
102E,102.00,E,1,0,2,49,1.7,33.02
102E,102.00,E,1,0,2,43,1.2,35.56
102E,102.00,E,1,0,2,51,1.2,35.56
102E,102.00,E,1,0,2,49,1.4,35.56
102E,102.00,E,1,0,2,43,2,35.56
102E,102.00,E,1,0,2,55,1.4,38.10
102E,102.00,E,1,0,2,45,1.6,38.10
102E,102.00,E,1,0,2,55,1.4,39.37
102E,102.00,E,1,0,2,45,1.5,39.37
102E,102.00,E,1,0,2,49,2.1,39.37
102E,102.00,E,1,0,2,55,1.2,40.64
102E,102.00,E,1,0,2,49,1.4,40.64
102E,102.00,E,1,0,2,53,1.4,40.64
102E,102.00,E,1,0,2,53,1.5,40.64
102E,102.00,E,1,0,2,49,1.6,40.64
102E,102.00,E,1,0,2,53,1.7,40.64
102E,102.00,E,1,0,2,49,1.8,40.64
102E,102.00,E,1,0,2,51,1.9,41.91
102E,102.00,E,1,0,2,49,1.1,43.18
102E,102.00,E,1,0,2,57,1.2,43.18
102E,102.00,E,1,0,2,49,1.4,43.18
102E,102.00,E,1,0,2,57,1.6,43.18
102E,102.00,E,1,0,2,55,1.4,44.45
102E,102.00,E,1,0,2,55,1.8,44.45
102E,102.00,E,1,0,2,49,2,44.45
102E,102.00,E,1,0,2,53,1,45.72
102E,102.00,E,1,0,2,57,1,45.72
102E,102.00,E,1,0,2,47,1.1,45.72
102E,102.00,E,1,0,2,49,1.8,45.72
102E,102.00,E,1,0,2,59,1.9,45.72
102E,102.00,E,1,0,2,49,1.8,46.99
102E,102.00,E,1,0,2,55,1.1,48.26
102E,102.00,E,1,0,2,49,1.6,48.26
102E,102.00,E,1,0,2,53,1.6,48.26
102E,102.00,E,1,0,2,49,1.7,48.26
102E,102.00,E,1,0,2,53,1.8,48.26
102E,102.00,E,1,0,2,51,1.9,48.26
102E,102.00,E,1,0,2,53,2.2,48.26
102E,102.00,E,1,0,2,49,1.6,49.53
102E,102.00,E,1,0,2,49,1.8,49.53
102E,102.00,E,1,0,2,49,1.5,50.80
102E,102.00,E,1,0,2,55,1.7,50.80
102E,102.00,E,1,0,2,49,2.3,50.80
102E,102.00,E,1,0,2,57,2.3,50.80
102E,102.00,E,1,0,2,55,1.6,52.07
102E,102.00,E,1,0,2,53,2.3,52.07
102E,102.00,E,1,0,2,51,1.5,53.34
102E,102.00,E,1,0,2,55,1.6,53.34
102E,102.00,E,1,0,2,45,2,53.34
102E,102.00,E,1,0,2,59,2.1,53.34
102E,102.00,E,1,0,2,55,2.2,53.34
102E,102.00,E,1,0,2,55,2.3,53.34
102E,102.00,E,1,0,2,53,2.4,53.34
102E,102.00,E,1,0,2,51,2.6,53.34
102E,102.00,E,1,0,2,57,1.4,55.88
102E,102.00,E,1,0,2,55,1.7,55.88
102E,102.00,E,1,0,2,49,1.9,55.88
102E,102.00,E,1,0,2,53,1.9,55.88
102E,102.00,E,1,0,2,53,2.3,55.88
102E,102.00,E,1,0,2,55,1.7,57.15
102E,102.00,E,1,0,2,53,2.2,57.15
102E,102.00,E,1,0,2,49,2.4,57.15
102E,102.00,E,1,0,2,59,1.4,58.42
102E,102.00,E,1,0,2,55,1.7,58.42
102E,102.00,E,1,0,2,53,1.9,58.42
102E,102.00,E,1,0,2,49,2,58.42
102E,102.00,E,1,0,2,55,2.2,58.42
102E,102.00,E,1,0,2,59,2.2,58.42
102E,102.00,E,1,0,2,51,2.4,58.42
102E,102.00,E,1,0,2,59,2.5,59.18
102E,102.00,E,1,0,2,57,2.3,59.69
102E,102.00,E,1,0,2,55,2,60.96
102E,102.00,E,1,0,2,53,2.5,60.96
