plot,year,block,rate,PD,stage,diameter,height,who
101E,2022,1,1.5,Early,na,0.5,20.3,Laurel 
101E,2022,1,1.5,Early,na,0.6,22.9,Laurel 
101E,2022,1,1.5,Early,57,1.1,31.8,Laurel 
101E,2022,1,1.5,Early,49,1.7,40.6,Laurel 
101E,2022,1,1.5,Early,47,1.2,45.7,Laurel 
101E,2022,1,1.5,Early,57,1,48.3,Laurel 
101E,2022,1,1.5,Early,57,1.3,48.3,Laurel 
101E,2022,1,1.5,Early,59,1.2,50.8,Laurel 
101E,2022,1,1.5,Early,55,1.4,50.8,Laurel 
101E,2022,1,1.5,Early,49,2.1,50.8,Laurel 
101E,2022,1,1.5,Early,55,1.7,53.3,Laurel 
101E,2022,1,1.5,Early,55,2,53.3,Laurel 
101E,2022,1,1.5,Early,59,1.4,61,Laurel 
101E,2022,1,1.5,Early,57,2,61,Laurel 
101E,2022,1,1.5,Early,59,2.8,61,Laurel 
101E,2022,1,1.5,Early,57,2.2,63.5,Laurel 
101E,2022,1,1.5,Early,57,2.4,63.5,Laurel 
101E,2022,1,1.5,Early,59,1.9,66,Laurel 
101E,2022,1,1.5,Early,57,1.9,66,Laurel 
101E,2022,1,1.5,Early,59,2,66,Laurel 
101E,2022,1,1.5,Early,59,2.2,66,Laurel 
101E,2022,1,1.5,Early,55,2.5,68.6,Laurel 
101E,2022,1,1.5,Early,57,2.5,71.1,Laurel 
101E,2022,1,1.5,Early,59,2.6,71.1,Laurel 
101E,2022,1,1.5,Early,57,3.5,71.1,Laurel 
101E,2022,1,1.5,Early,59,2.3,73.7,Laurel 
101E,2022,1,1.5,Early,59,2.3,73.7,Laurel 
101E,2022,1,1.5,Early,57,2.5,73.7,Laurel 
101E,2022,1,1.5,Early,57,2.7,73.7,Laurel 
101E,2022,1,1.5,Early,57,3.1,73.7,Laurel 
101E,2022,1,1.5,Early,57,3.2,73.7,Laurel 
101E,2022,1,1.5,Early,59,2.6,76.2,Laurel 
101E,2022,1,1.5,Early,57,2.8,76.2,Laurel 
