date,plot,rate,quadrat,canopy_percent,canopy_ratio,block,strip
12april22,101E,1.5,A,62.98,0.6298,1,1
12april22,101L,1.5,A,49.48,0.4948,1,1
12april22,102E,0,A,22.39,0.2239,1,2
12april22,102L,0,A,18.44,0.1844,1,2
12april22,103E,3,A,60.46,0.6046,1,3
12april22,103L,3,A,42.75,0.4275,1,3
12april22,201E,0,A,28.27,0.2827,2,1
12april22,201L,0,A,32.4,0.324,2,1
12april22,202E,1.5,A,28.2,0.282,2,2
12april22,202L,1.5,A,33.43,0.3343,2,2
12april22,203E,3,A,23.1,0.231,2,3
12april22,203L,3,A,27.22,0.2722,2,3
12april22,301E,3,A,40.26,0.4026,3,1
12april22,301L,3,A,44.07,0.4407,3,1
12april22,302E,1.5,A,39.93,0.3993,3,2
12april22,302L,1.5,A,41.42,0.4142,3,2
12april22,303E,0,A,10.75,0.1075,3,3
12april22,303L,0,A,9.26,0.0926,3,3
12april22,401E,0,A,24.52,0.2452,4,1
12april22,401L,0,A,26.89,0.2689,4,1
12april22,402E,3,A,24.27,0.2427,4,2
12april22,402L,3,A,36.24,0.3624,4,2
12april22,403E,1.5,A,28.98,0.2898,4,3
12april22,403L,1.5,A,34.29,0.3429,4,3
12april22,501E,3,A,52.33,0.5233,5,1
12april22,501L,3,A,66.19,0.6619,5,1
12april22,502E,0,A,18.87,0.1887,5,2
12april22,502L,0,A,12.04,0.1204,5,2
12april22,503E,1.5,A,46.73,0.4673,5,3
12april22,503L,1.5,A,38.56,0.3856,5,3
12april22,101E,1.5,B_no_weeds,51.98,0.5198,1,1
12april22,101L,1.5,B_no_weeds,39.15,0.3915,1,1
12april22,102E,0,B_no_weeds,24.57,0.2457,1,2
12april22,102L,0,B_no_weeds,19.48,0.1948,1,2
12april22,103E,3,B_no_weeds,59.18,0.5918,1,3
12april22,103L,3,B_no_weeds,45.15,0.4515,1,3
12april22,201E,0,B_no_weeds,22.46,0.2246,2,1
12april22,201L,0,B_no_weeds,33.24,0.3324,2,1
12april22,202E,1.5,B_no_weeds,23.97,0.2397,2,2
12april22,202L,1.5,B_no_weeds,39.19,0.3919,2,2
12april22,203E,3,B_no_weeds,23.15,0.2315,2,3
12april22,203L,3,B_no_weeds,25.29,0.2529,2,3
