plot,PD,rate,block,rye_bio,steme_bio,weed_bio,peak_bio,setfa,ambel,comparison,rri.rye,rri.steme,rri.weed,rri.peak,rri.setfa,rri.ambel,rci.anthesis,rci.steme,rci.peak,rci.setfa,rci.ambel
102E,Early,0,1,3212,0.055,2.56,985.80,526.00,315.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
102L,Late,0,1,2692,0.116,4.64,1047.08,562.00,348,0E:L,0.088075881,-0.356725146,-0.288888889,-0.030144426,-0.033088235,-0.048508587,-0.37696477,-0.444801027,-0.118220306,-0.121164116,-0.136584468
101E,Early,1.5,1,6864,1.468,61.52,1221.64,702.00,366,1.5:0E,-0.362445415,-0.92777413,-0.920099875,-0.106838691,-0.143322476,-0.07362863,-0.55765446,-0.565328715,0.255606724,0.219122939,0.288816785
101L,Late,1.5,1,4788,1.582,64.64,921.34,413.40,410.6,1.5:0L,-0.280213904,-0.863368669,-0.866050808,0.063878644,0.152347755,-0.082520432,-0.585836905,-0.583154765,0.344092548,0.432561659,0.197693471
103E,Early,3,1,8728,1.894,128.24,1010.72,914.00,52,3:0E,-0.461976549,-0.9435608,-0.960856269,-0.012481718,-0.269444444,0.717237629,-0.49887972,-0.481584251,0.449494831,0.192532105,1.179214179
103L,Late,3,1,5020,0.58,23.2,1160.98,980.00,36,3:0L,-0.30186722,-0.666666667,-0.666666667,-0.051583743,-0.271076524,0.8125,-0.364799447,-0.364799447,0.250283477,0.030790696,1.11436722
201E,Early,0,2,2480,0.162,9.88,834.12,516.20,190.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
201L,Late,0,2,3680,0.764,34.24,1165.20,854.00,194,0E:L,-0.194805195,-0.650107991,-0.552130553,-0.165596303,-0.246533353,-0.009890682,-0.357325358,-0.455302797,0.029208892,-0.051728158,0.184914513
202E,Early,1.5,2,3560,2.234,98.4,967.10,602.80,226.8,1.5:0E,-0.178807947,-0.864774624,-0.817510159,-0.073827739,-0.077390527,-0.087769784,-0.638702212,-0.685966677,0.104980208,0.10141742,0.091038163
202L,Late,1.5,2,5052,2.219,88.76,1513.86,950.00,384,1.5:0L,-0.157123225,-0.487763996,-0.443252033,-0.130142662,-0.053215078,-0.328719723,-0.286128808,-0.330640771,0.026980563,0.103908147,-0.171596498
203E,Early,3,2,3172,0.862,56.68,991.82,656.00,180,3:0E,-0.122434536,-0.68359375,-0.703125,-0.086366474,-0.119262924,0.027552674,-0.580690464,-0.561159214,0.036068062,0.003171612,0.149987211
203L,Late,3,2,3904,0.242,20.08,1273.56,622.00,540,3:0L,-0.029535865,0.51888668,0.260677467,-0.044432416,0.157181572,-0.471389646,0.290213332,0.548422545,-0.014896551,0.186717437,-0.441853781
303E,Early,0,3,1592,0,2.72,465.52,189.80,193.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
303L,Late,0,3,1840,0,0,871.82,306.80,437,0E:L,-0.072261072,NA,1,-0.303812045,-0.235602094,-0.38642132,1.072261072,NA,-0.231550973,-0.163341022,-0.314160248
302E,Early,1.5,3,3420,3.065,144.96,695.66,605.60,29.4,1.5:0E,-0.364724661,-1,-0.963163597,-0.19819494,-0.522755846,0.736086176,-0.598438936,-0.635275339,0.166529721,-0.158031185,1.100810837
302L,Late,1.5,3,4276,3.136,164.6,1556.46,1157.80,271.8,1.5:0L,-0.398299542,-1,-1,-0.281944422,-0.581046019,0.233069977,-0.601700458,-0.601700458,0.116355121,-0.182746477,0.63136952
301E,Early,3,3,5188,1.9,82.8,1371.86,498.00,478,3:0E,-0.530383481,-1,-0.936389149,-0.493278473,-0.448095377,-0.423890378,-0.406005668,-0.469616519,0.037105008,0.082288104,0.106493103
301L,Late,3,3,5448,1.993,85.8,923.80,776.00,0,3:0L,-0.495060373,-1,-1,-0.028948218,-0.43332102,1,-0.504939627,-0.504939627,0.466112155,0.061739354,1.495060373
401E,Early,0,4,3616,0.196,7.84,1082.82,638.00,224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
401L,Late,0,4,3832,0.553,22.12,1131.52,955.40,75,0E:L,-0.029001074,-0.476635514,-0.476635514,-0.021993009,-0.199196686,0.498327759,-0.44763444,-0.44763444,0.007008065,-0.170195612,0.527328833
403E,Early,1.5,4,3360,0.246,9.84,390.14,267.60,89.8,1.5:0E,0.036697248,-0.113122172,-0.113122172,0.470263958,0.409010601,0.427660931,-0.14981942,-0.14981942,0.433566711,0.372313353,0.390963683
403L,Late,1.5,4,4788,3.214,174.36,1290.66,568.00,184,1.5:0L,-0.110904872,-0.706397664,-0.774837134,-0.065701145,0.254299593,-0.420849421,-0.663932261,-0.595492792,0.045203727,0.365204465,-0.309944548
402E,Early,3,4,2472,2.476,102.92,925.40,676.00,36,3:0E,0.187910644,-0.853293413,-0.858432647,0.078387826,-0.02891933,0.723076923,-1.046343291,-1.041204057,-0.109522818,-0.216829974,0.535166279
402L,Late,3,4,4128,3.227,140.16,729.78,545.40,96.2,3:0L,-0.03718593,-0.707407407,-0.727384767,0.215838393,0.273187633,-0.123831776,-0.690198837,-0.670221478,0.253024322,0.310373563,-0.086645846
502E,Early,0,5,3140,0.042,2.96,1233.52,849.80,302.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502L,Late,0,5,2648,0.544,28.96,685.54,522.00,110,0E:L,0.085003455,-0.85665529,-0.814536341,0.285546049,0.238956116,0.466278506,-0.899539796,-0.941658746,0.200542593,0.153952661,0.38127505
503E,Early,1.5,5,5776,2.878,127.72,1076.32,790.00,168,1.5:0E,-0.295648273,-0.971232877,-0.9546985,0.068056662,0.036467862,0.285410464,-0.659050227,-0.675584604,0.363704935,0.332116135,0.581058736
503L,Late,1.5,5,4244,0.977,95.28,1621.14,882.00,252,1.5:0L,-0.231572838,-0.284681131,-0.533805538,-0.405604592,-0.256410256,-0.392265193,-0.3022327,-0.053108293,-0.174031754,-0.024837418,-0.160692355
501E,Early,3,5,6432,0.877,35.08,1113.60,784.00,200,3:0E,-0.343919766,-0.9085963,-0.844374343,0.051092403,0.040274207,0.20350458,-0.500454577,-0.564676534,0.395012169,0.384193973,0.547424346
501L,Late,3,5,9000,1.705,79,1093.62,626.00,324,3:0L,-0.54532967,-0.516229435,-0.463505002,-0.229366667,-0.090592334,-0.493087558,0.081824668,0.029100235,0.315963003,0.454737336,0.052242113
