plot,bio_0.5m2,rate,PD,seeds,germ_ratio,germinated_seeds,viable_seeds
101E,51.1,1.5,E,99,0.323232323,32,32
101L,21.3,1.5,L,142,0.23,23,32.66
102E,25.7,0,E,620,0.31,31,192.2
102L,27.4,0,L,581,0.31,31,180.11
103E,72.9,3,E,191,0.51,51,97.41
103L,53.7,3,L,136,0.27,27,36.72
201E,28,0,E,453,0.49,49,221.97
201L,17.9,0,L,411,0.51,51,209.61
202E,24.4,1.5,E,167,0.54,54,90.18
202L,6.7,1.5,L,109,0.48,48,52.32
203E,60.5,3,E,148,0.6,60,88.8
203L,23.8,3,L,125,0.38,38,47.5
301E,58.2,3,E,77,0.519480519,40,40
301L,83.4,3,L,277,0.46,46,127.42
302E,58.8,1.5,E,146,0.42,42,61.32
302L,35,1.5,L,196,0.41,41,80.36
303E,65.3,0,E,516,0.63,63,325.08
303L,46.7,0,L,582,0.44,44,256.08
401E,62.1,0,E,293,0.45,45,131.85
401L,25.4,0,L,224,0.47,47,105.28
402E,65.6,3,E,229,0.55,55,125.95
402L,60.5,3,L,237,0.45,45,106.65
403E,111.6,1.5,E,275,0.43,43,118.25
403L,95.7,1.5,L,158,0.36,36,56.88
501E,28.3,3,E,594,0.23,23,136.62
501L,19.2,3,L,280,0.21,21,58.8
502E,34.2,0,E,96,0.552083333,53,53
502L,19.9,0,L,148,0.54,54,79.92
503E,23.8,1.5,E,107,0.38,38,40.66
503L,36.5,1.5,L,164,0.45,45,73.8
