plot,PD,block,rate_pl,rye_bio,steme_bio,erpve_bio,carhi_bio,lamam_bio,setfa_bio,oxast_bio,cervu_bio,ambel_bio,tarof_bio,lampu_bio,polpy_bio,verar_bio,triticale_bio,weed_bio_tot,rye_kg,weed_kg
101E,E,1,3,95.8,1.2,0.07,0,0,0,0,0,0,0,0,0,0,0,1.27,3832,50.8
101L,L,1,3,193.5,0.31,0.04,0.01,0,0,0,0,0,0,0,0,0,0,0.36,7740,14.4
102E,E,1,0,64.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2596,0
102L,L,1,0,64.9,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.004,2596,0.16
103E,E,1,1.5,105,0.44,0,0,0,0.02,0,0,0,0,0,0,0,0,0.46,4200,18.4
103L,L,1,1.5,147.2,0.31,0.01,0,0,0.04,0,0,0,0,0,0,0,0,0.36,5888,14.4
201E,E,2,3,196.5,0.6,0.02,0,0,0,0,0,0,0,0.03,0,0,0,0.65,7860,26
201L,L,2,3,157.3,0.5,0.004,0,0.1,0,0,0,0,0,0,0,0,0,0.604,6292,24.16
202E,E,2,1.5,183.5,0.8,0.03,0,0,0,0,0,0,0,0,0,0,0,0.83,7340,33.2
202L,L,2,1.5,157.8,2.6,0,0,0,0,0,0,0,0,0,0,0,0,2.6,6312,104
203E,E,2,0,134.9,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0.68,5396,27.2
203L,L,2,0,94.1,0.01,0,0,0,0,0,0,0.002,0,0,0,0,0,0.012,3764,0.48
301E,E,3,0,111.5,0.01,0,0,0,0.02,0,0,0,0,0,0,0.03,0,0.06,4460,2.4
301L,L,3,0,117.6,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0.06,4704,2.4
302E,E,3,3,210.2,1.4,0,0.06,0.2,0.05,0,0,0,0,0,0,0,0.24,1.95,8408,78
302L,L,3,3,208.5,0.12,0,0,0,0,0,0,0,0,0,0,0,0,0.12,8340,4.8
303E,E,3,1.5,130.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,5208,8
303L,L,3,1.5,165.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6604,0
401E,E,4,1.5,123.3,0.06,0.002,0,0,0,0,0,0,0,0,0,0,0,0.062,4932,2.48
401L,L,4,1.5,126.3,0.06,0,0,0,0.02,0.001,0.03,0,0,0,0,0,0,0.111,5052,4.44
402E,E,4,0,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3160,0
402L,L,4,0,111.7,1.9,0,0,0,0,0,0,0,0,0,0,0,0,1.9,4468,76
403E,E,4,3,156.6,1.4,0,0.05,0,0,0.001,0,0,0,0,0,0,0,1.451,6264,58.04
403L,L,4,3,191.2,0.7,0,0,0,0.02,0,0,0,0,0,0.03,0,0,0.75,7648,30
501E,E,5,1.5,120.6,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0.14,4824,5.6
501L,L,5,1.5,119.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4792,0
502E,E,5,3,160.5,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,6420,32
502L,L,5,3,234.5,0.6,0,0.03,0.009,0,0,0,0,0,0,0,0,0,0.639,9380,25.56
503E,E,5,0,96.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3852,0
503L,L,5,0,89.6,0.01,0,0,0,0.02,0,0,0.001,0.05,0,0,0,0,0.081,3584,3.24
