plot,PD,rate,block,counter,date cut,date counted,giant foxtail,common ragweed,common lambsquarters,yellow foxtail,redroot pigweed,velvetleaf,yellow woodsorrel,cereal rye,dandelion,mouseear chickweed,field violet,marestail,large crabgrass,smooth crabgrass,PA smarterweed,common chickweed,ladysthumb,venice mallow,clover,broadleaf plantain,eastern black nightshade,scarlet pipernel,virginia copperleaf
101E,E,3,1,Grant,8/3/23,8/3/23,111,25,1,67,0,1,8,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
101L,L,3,1,Madde Dagen,8/3/23,8/4/23,35,16,0,43,0,1,1,5,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0
102E,E,0,1,Laurel,8/3/23,8/3/23,87,44,0,0,1,3,4,5,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0
102L,L,0,1,Grant,8/3/23,8/3/23,98,75,0,1,0,7,4,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
103E,E,1.5,1,Madde Dagen,8/3/23,8/3/23,223,32,0,34,0,3,6,13,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0
103L,L,1.5,1,Madde Dagen,8/3/23,8/3/23,134,33,0,19,0,5,11,5,1,10,0,1,0,0,0,0,2,0,0,0,0,4,0
201E,E,3,2,Laurel,8/3/23,8/4/23,173,42,0,10,0,4,2,11,1,0,0,1,2,5,3,0,0,0,0,0,0,0,0
201L,L,3,2,Madde Dagen,8/3/23,8/4/23,125,24,0,5,0,1,2,14,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1
202E,E,1.5,2,Noelle,8/3/23,8/4/23,68,24,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0
202L,L,1.5,2,Laurel,8/3/23,8/3/23,89,29,0,0,0,1,0,37,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
203E,E,0,2,Madde Dagen,8/3/23,8/4/23,176,39,0,0,0,5,9,3,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0
203L,L,0,2,Laurel,8/3/23,8/4/23,98,37,0,13,0,1,1,9,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
301E,E,0,3,Laurel,8/3/23,8/4/23,253,63,1,0,0,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301L,L,0,3,Madde Dagen,8/3/23,8/4/23,153,46,1,0,0,1,0,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
302E,E,3,3,Noelle,8/3/23,8/4/23,67,36,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
302L,L,3,3,Laurel,8/3/23,8/4/23,27,16,1,0,0,0,0,40,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
303E,E,1.5,3,Laurel,8/3/23,8/4/23,89,5,0,20,0,0,7,2,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
303L,L,1.5,3,Laurel,8/3/23,8/4/23,95,32,0,1,0,1,2,35,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0
401E,E,1.5,4,Laurel,8/3/23,8/4/23,318,29,2,0,0,3,0,3,4,0,0,0,0,7,0,0,0,1,0,0,0,0,0
401L,L,1.5,4,Grant,8/3/23,8/4/23,246,31,3,0,0,0,1,4,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
402E,E,0,4,Madde Dagen,8/3/23,8/4/23,164,61,0,0,0,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
402L,L,0,4,Madde Dagen,8/3/23,8/4/23,190,29,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
403E,E,3,4,Laurel,8/3/23,8/4/23,118,18,0,3,0,0,7,6,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0
403L,L,3,4,Noelle,8/3/23,8/4/23,85,8,0,3,0,0,5,10,1,3,2,0,0,0,0,0,1,0,0,0,0,0,0
501E,E,1.5,5,Madde Dagen,8/3/23,8/4/23,306,34,1,0,0,1,0,4,1,0,0,2,3,0,0,0,0,0,36,0,1,0,0
501L,L,1.5,5,Noelle,8/3/23,8/4/23,167,30,2,3,0,1,1,8,0,0,0,1,2,11,0,0,0,0,14,1,0,0,0
502E,E,3,5,Madde Dagen,8/3/23,8/4/23,134,0,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
502L,L,3,5,Laurel,8/3/23,8/3/23,96,17,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503E,E,0,5,Laurel,8/3/23,8/3/23,196,31,0,2,0,2,3,8,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0
503L,L,0,5,Madde Dagen,8/3/23,8/4/23,178,11,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
